-2.497081499999999869e+04	-2.603515499999999884e+04	-2.134894499999999971e+04	1.098670499999999993e+04	1.200365999999999985e+04	-6.668414999999999964e+03	-2.454893999999999869e+04	-1.558669499999999971e+04	4.000000000000000000e+00
-2.497441500000000087e+04	-2.603663999999999942e+04	-2.134529999999999927e+04	1.099075499999999920e+04	1.200618000000000029e+04	-6.663014999999999418e+03	-2.455519499999999971e+04	-1.559177999999999884e+04	4.000000000000000000e+00
-2.497554000000000087e+04	-2.603695499999999811e+04	-2.134615499999999884e+04	1.099322999999999956e+04	1.200717000000000007e+04	-6.665894999999999527e+03	-2.455838999999999942e+04	-1.559240999999999985e+04	4.000000000000000000e+00
-2.497616999999999825e+04	-2.603672999999999956e+04	-2.134624499999999898e+04	1.100650499999999920e+04	1.200271500000000015e+04	-6.680024999999999636e+03	-2.455258499999999913e+04	-1.559096999999999935e+04	4.000000000000000000e+00
-2.497909499999999753e+04	-2.604545999999999913e+04	-2.136725999999999840e+04	1.099421999999999935e+04	1.199020499999999993e+04	-6.670259999999999309e+03	-2.454799499999999898e+04	-1.559083499999999913e+04	4.000000000000000000e+00
-2.497828499999999985e+04	-2.604609000000000015e+04	-2.137144499999999971e+04	1.097451000000000022e+04	1.199236499999999978e+04	-6.649739999999999782e+03	-2.455123500000000058e+04	-1.558939499999999862e+04	4.000000000000000000e+00
-2.497545000000000073e+04	-2.604059999999999854e+04	-2.136429000000000087e+04	1.094921999999999935e+04	1.198129500000000007e+04	-6.650369999999999891e+03	-2.455294499999999971e+04	-1.558889999999999964e+04	4.000000000000000000e+00
-2.497360499999999956e+04	-2.603582999999999811e+04	-2.135961000000000058e+04	1.095335999999999876e+04	1.197211499999999978e+04	-6.654779999999999745e+03	-2.455487999999999738e+04	-1.559101499999999942e+04	4.000000000000000000e+00
-2.496865499999999884e+04	-2.603011499999999796e+04	-2.136213000000000102e+04	1.097194499999999971e+04	1.198862999999999920e+04	-6.669494999999999891e+03	-2.455218000000000029e+04	-1.558692000000000007e+04	4.000000000000000000e+00
-2.497423500000000058e+04	-2.603861999999999898e+04	-2.138368499999999767e+04	1.097414999999999964e+04	1.199254500000000007e+04	-6.715125000000000000e+03	-2.455613999999999942e+04	-1.559020499999999993e+04	4.000000000000000000e+00
-2.497265999999999985e+04	-2.603821500000000015e+04	-2.137734000000000015e+04	1.098126000000000022e+04	1.199605500000000029e+04	-6.725564999999999600e+03	-2.455231499999999869e+04	-1.558678499999999985e+04	4.000000000000000000e+00
-2.498305500000000029e+04	-2.605068000000000029e+04	-2.137801499999999942e+04	1.096474499999999898e+04	1.198867499999999927e+04	-6.681329999999999927e+03	-2.454713999999999942e+04	-1.559231999999999971e+04	4.000000000000000000e+00
-2.499002999999999884e+04	-2.605752000000000044e+04	-2.137796999999999753e+04	1.095245999999999913e+04	1.199025000000000000e+04	-6.603074999999999818e+03	-2.454376499999999942e+04	-1.559762999999999920e+04	4.000000000000000000e+00
-2.497752000000000044e+04	-2.604010499999999956e+04	-2.134165499999999884e+04	1.098107999999999993e+04	1.199695499999999993e+04	-6.607215000000000146e+03	-2.453543999999999869e+04	-1.558885499999999956e+04	4.000000000000000000e+00
-2.496941999999999825e+04	-2.602831499999999869e+04	-2.133634499999999753e+04	1.099232999999999993e+04	1.200212999999999920e+04	-6.642134999999999309e+03	-2.453593499999999767e+04	-1.558430999999999949e+04	4.000000000000000000e+00
-2.498093999999999869e+04	-2.604163499999999840e+04	-2.135538000000000102e+04	1.097630999999999949e+04	1.199983499999999913e+04	-6.628319999999999709e+03	-2.454668999999999869e+04	-1.559573999999999978e+04	4.000000000000000000e+00
-2.497891500000000087e+04	-2.604181499999999869e+04	-2.135906999999999971e+04	1.096200000000000000e+04	1.199695499999999993e+04	-6.609375000000000000e+03	-2.454277499999999782e+04	-1.559312999999999920e+04	4.000000000000000000e+00
-2.498071500000000015e+04	-2.604707999999999811e+04	-2.136536999999999898e+04	1.096145999999999913e+04	1.199074499999999898e+04	-6.620939999999999600e+03	-2.454466500000000087e+04	-1.559299499999999898e+04	4.000000000000000000e+00
-2.498111999999999898e+04	-2.604982500000000073e+04	-2.136923999999999796e+04	1.096037999999999920e+04	1.199006999999999971e+04	-6.632369999999999891e+03	-2.454525000000000000e+04	-1.559137500000000000e+04	4.000000000000000000e+00
-2.498125499999999738e+04	-2.604698999999999796e+04	-2.136609000000000015e+04	1.096339500000000044e+04	1.198858499999999913e+04	-6.663014999999999418e+03	-2.455037999999999738e+04	-1.559335499999999956e+04	4.000000000000000000e+00
-2.497977000000000044e+04	-2.604257999999999811e+04	-2.136266999999999825e+04	1.096902000000000044e+04	1.198997999999999956e+04	-6.683130000000000109e+03	-2.455105500000000029e+04	-1.559317499999999927e+04	4.000000000000000000e+00
-2.498021999999999753e+04	-2.604406499999999869e+04	-2.136595499999999811e+04	1.097410499999999956e+04	1.198917000000000007e+04	-6.695954999999999927e+03	-2.455222499999999854e+04	-1.559299499999999898e+04	4.000000000000000000e+00
-2.497855500000000029e+04	-2.604361499999999796e+04	-2.136865499999999884e+04	1.098126000000000022e+04	1.199456999999999971e+04	-6.691229999999999563e+03	-2.455384499999999753e+04	-1.559177999999999884e+04	4.000000000000000000e+00
-2.497162500000000000e+04	-2.603456999999999971e+04	-2.136204000000000087e+04	1.098477000000000044e+04	1.200370499999999993e+04	-6.687404999999999745e+03	-2.455357500000000073e+04	-1.558818000000000029e+04	4.000000000000000000e+00
-2.496329999999999927e+04	-2.602827000000000044e+04	-2.135771999999999753e+04	1.096726499999999942e+04	1.200379500000000007e+04	-6.691679999999999382e+03	-2.454376499999999942e+04	-1.557868499999999949e+04	4.000000000000000000e+00
-2.496460499999999956e+04	-2.603061000000000058e+04	-2.135758499999999913e+04	1.095376499999999942e+04	1.197859499999999935e+04	-6.688170000000000073e+03	-2.453683499999999913e+04	-1.557679500000000007e+04	4.000000000000000000e+00
-2.496649499999999898e+04	-2.603168999999999869e+04	-2.135465999999999985e+04	1.097473499999999876e+04	1.197927000000000044e+04	-6.661979999999999563e+03	-2.453427000000000044e+04	-1.557872999999999956e+04	4.000000000000000000e+00
-2.496959999999999854e+04	-2.603389500000000044e+04	-2.135663999999999942e+04	1.097585999999999876e+04	1.198205999999999949e+04	-6.663194999999999709e+03	-2.454380999999999767e+04	-1.558291499999999905e+04	4.000000000000000000e+00
-2.496618000000000029e+04	-2.602763999999999942e+04	-2.134484999999999854e+04	1.098517499999999927e+04	1.199195999999999913e+04	-6.639434999999999491e+03	-2.454722999999999956e+04	-1.558178999999999905e+04	4.000000000000000000e+00
-2.496730500000000029e+04	-2.602804499999999825e+04	-2.134480500000000029e+04	1.098949499999999898e+04	1.199735999999999876e+04	-6.621029999999999745e+03	-2.455159499999999753e+04	-1.558547999999999956e+04	4.000000000000000000e+00
-2.496770999999999913e+04	-2.602961999999999898e+04	-2.134741500000000087e+04	1.100299499999999898e+04	1.200784499999999935e+04	-6.613199999999999818e+03	-2.454880500000000029e+04	-1.558471500000000015e+04	4.000000000000000000e+00
-2.497598999999999796e+04	-2.603978999999999724e+04	-2.135839500000000044e+04	1.101122999999999956e+04	1.201315499999999884e+04	-6.640920000000000073e+03	-2.454988499999999840e+04	-1.558975499999999920e+04	4.000000000000000000e+00
-2.498458499999999913e+04	-2.604964500000000044e+04	-2.137171500000000015e+04	1.099570499999999993e+04	1.200613500000000022e+04	-6.662564999999999600e+03	-2.454993000000000029e+04	-1.559654999999999927e+04	4.000000000000000000e+00
-2.498440499999999884e+04	-2.605013999999999942e+04	-2.137756499999999869e+04	1.093432499999999891e+04	1.199601000000000022e+04	-6.653429999999999382e+03	-2.454529499999999825e+04	-1.559497499999999854e+04	4.000000000000000000e+00
-2.497945499999999811e+04	-2.604554999999999927e+04	-2.137788000000000102e+04	1.093112999999999920e+04	1.199443499999999949e+04	-6.654194999999999709e+03	-2.454479999999999927e+04	-1.559092499999999927e+04	4.000000000000000000e+00
-2.497639500000000044e+04	-2.603906999999999971e+04	-2.137279499999999825e+04	1.094390999999999985e+04	1.199718000000000029e+04	-6.663239999999999782e+03	-2.454318000000000029e+04	-1.559105999999999949e+04	4.000000000000000000e+00
-2.497126499999999942e+04	-2.603250000000000000e+04	-2.135988000000000102e+04	1.096326000000000022e+04	1.200257999999999993e+04	-6.658829999999999927e+03	-2.453845499999999811e+04	-1.558692000000000007e+04	4.000000000000000000e+00
-2.497486499999999796e+04	-2.603956499999999869e+04	-2.135767499999999927e+04	1.097176499999999942e+04	1.199592000000000007e+04	-6.662069999999999709e+03	-2.454173999999999796e+04	-1.558565999999999985e+04	4.000000000000000000e+00
-2.497099499999999898e+04	-2.603686499999999796e+04	-2.133954000000000087e+04	1.098445499999999993e+04	1.199191499999999905e+04	-6.653925000000000182e+03	-2.453881499999999869e+04	-1.558030500000000029e+04	4.000000000000000000e+00
-2.496757500000000073e+04	-2.603065499999999884e+04	-2.133400500000000102e+04	1.099030500000000029e+04	1.199506499999999869e+04	-6.656444999999999709e+03	-2.454029999999999927e+04	-1.557926999999999862e+04	4.000000000000000000e+00
-2.496563999999999942e+04	-2.603015999999999985e+04	-2.135141999999999825e+04	1.098360000000000036e+04	1.200014999999999964e+04	-6.667244999999999891e+03	-2.454623999999999796e+04	-1.558106999999999971e+04	4.000000000000000000e+00
-2.495114999999999782e+04	-2.601166499999999724e+04	-2.133504000000000087e+04	1.099543499999999949e+04	1.201392000000000007e+04	-6.661710000000000036e+03	-2.454218999999999869e+04	-1.557148499999999876e+04	4.000000000000000000e+00
-2.495299499999999898e+04	-2.601328499999999985e+04	-2.133301499999999942e+04	1.099772999999999956e+04	1.201760999999999876e+04	-6.658019999999999527e+03	-2.454093000000000029e+04	-1.557188999999999942e+04	4.000000000000000000e+00
-2.496843000000000029e+04	-2.603155500000000029e+04	-2.135313000000000102e+04	1.098126000000000022e+04	1.200217499999999927e+04	-6.658335000000000036e+03	-2.454772499999999854e+04	-1.558187999999999920e+04	4.000000000000000000e+00
